,geoid10,score10,se10
44124,36047021800,0.45621321,0.020072587
44125,36047021900,0.37627149,0.013873773
44126,36047022000,0.40601283,0.017102139
44127,36047022100,0.33874691,0.014633484
44128,36047022200,0.44309309,0.017610695
44129,36047022400,0.45848027,0.016671784
44130,36047022600,0.48346105,0.0238034
44131,36047022700,0.33222839,0.0138354
44132,36047022800,0.43625796,0.017112182
44133,36047022900,0.36286631,0.014374219
44134,36047023000,0.42616287,0.016850328
44135,36047023100,0.36864093,0.019047547
44136,36047023200,0.39759409,0.014084443
44137,36047023300,0.31800708,0.010930289
44138,36047023400,0.4450886,0.019957533
44139,36047023500,0.37561896,0.018880799
44140,36047023600,0.43505144,0.017478868
44141,36047023800,0.44782811,0.022700582
44142,36047024000,0.47399029,0.021133602
44143,36047024100,0.36932167,0.021193244
44144,36047024200,0.43677029,0.026095303
44145,36047024300,0.38760003,0.014425538
44146,36047024400,0.50993365,0.027418453
44147,36047024500,0.37317726,0.01547344
44148,36047024600,0.58049524,0.027433619
44149,36047024700,0.32205755,0.014736358
44150,36047024800,0.54346961,0.028819639
44151,36047024900,0.33720046,0.011531259
44152,36047025000,0.57067186,0.037188582
44153,36047025100,0.34246126,0.012981996
44154,36047025200,0.54584712,0.019075284
44155,36047025300,0.35846263,0.017238336
44156,36047025400,0.53195983,0.02075861
44157,36047025500,0.32371649,0.0094464021
44158,36047025600,0.59058827,0.024963787
44159,36047025700,0.38109756,0.023543129
44160,36047025800,0.56179017,0.019321803
44161,36047025901,0.32989034,0.018644338
44162,36047025902,0.33044511,0.011514189
44163,36047026000,0.54661709,0.023899026
44164,36047026100,0.33786657,0.012068592
44165,36047026200,0.58170897,0.030405361
44166,36047026300,0.34222549,0.019912736
44167,36047026400,0.52991182,0.018602269
44168,36047026500,0.30697054,0.011775811
44169,36047026600,0.54405576,0.023442984
44170,36047026700,0.33596814,0.01393422
44171,36047026800,0.5597946,0.022222694
44172,36047026900,0.33114594,0.014541836
44173,36047027000,0.56927752,0.026606115
44174,36047027100,0.35803214,0.015963107
44175,36047027200,0.53290111,0.022686379
44176,36047027300,0.31752107,0.014472789
44177,36047027400,0.57389826,0.027298002
44178,36047027500,0.33186868,0.012128156
44179,36047027600,0.54025888,0.023276208
44180,36047027700,0.30256444,0.011363587
44181,36047027800,0.58424985,0.023940856
44182,36047027900,0.3345587,0.013226904
44183,36047028000,0.51379693,0.038586169
44184,36047028100,0.32012311,0.011838706
44185,36047028200,0.55112439,0.02472968
44186,36047028300,0.31503361,0.011234605
44187,36047028400,0.56261528,0.019911988
44188,36047028501,0.34234372,0.052931529
44189,36047028502,0.31900224,0.013060312
44190,36047028600,0.56665146,0.017039409
44191,36047028700,0.34833032,0.017075669
44192,36047028800,0.54826015,0.020100141
44193,36047028900,0.37738183,0.016321523
44194,36047029000,0.57691097,0.019071415
44195,36047029100,0.33203167,0.014396233
44196,36047029200,0.55360705,0.026186023
44197,36047029300,0.33125907,0.014151338
44198,36047029400,0.55991864,0.031503037
44199,36047029500,0.32815138,0.013649439
44200,36047029600,0.57254708,0.017387915
44201,36047029700,0.34291616,0.014787723
44202,36047029800,0.54699463,0.022820581
44203,36047029900,0.34321073,0.016702985
44204,36047030000,0.53191537,0.024381865
44205,36047030100,0.34443796,0.016072378
44206,36047030200,0.55390912,0.025996484
44207,36047030300,0.32195041,0.011896463
44208,36047030400,0.52468705,0.026022116
44209,36047030500,0.36401162,0.012205916
44210,36047030600,0.62159795,0.036924627
44211,36047030700,0.34122157,0.015612106
44212,36047030800,0.48762399,0.034758013
44213,36047030900,0.32874221,0.01768834
44214,36047031100,0.35911709,0.015424147
44215,36047031300,0.35210922,0.012923767
44216,36047031400,0.61192429,0.025843184
44217,36047031500,0.33584768,0.0097634969
44218,36047031701,0.36865696,0.012692727
44219,36047031702,0.40616354,0.015590554
44220,36047031900,0.40624785,0.013788972
44221,36047032100,0.39048231,0.0095104007
44222,36047032300,0.33553851,0.010902405
44223,36047032500,0.36743236,0.0088834157
44224,36047032600,0.37659982,0.010438115
44225,36047032700,0.39749506,0.013439547
44226,36047032800,0.46382734,0.01896802
